date,open,high,low,close,volume,open_interest,main_close,,,,,
2014-1-2,2345,2348,2342,2343,19644,233062,2342,,,,,
2014-1-3,2346,2348,2338,2340,40193,234847,2333,,,,,
2014-1-6,2335,2352,2335,2349,43059,236561,2344,,,,,
2014-1-7,2352,2366,2347,2365,88651,237183,2359,,,,,
2014-1-8,2363,2372,2363,2370,63621,237247,2364,,,,,
2014-1-9,2368,2375,2364,2373,57037,245611,2368,,,,,
2014-1-10,2373,2376,2368,2371,35617,244723,2365,,,,,
2014-1-13,2376,2384,2369,2372,31996,245997,2366,,,,,
2014-1-14,2371,2373,2365,2366,38467,248694,2363,,,,,
2014-1-15,2368,2368,2360,2362,32204,250363,2360,,,,,
2014-1-16,2363,2368,2359,2361,29994,254875,2357,,,,,
2014-1-17,2359,2364,2358,2361,16642,255346,2358,,,,,
2014-1-20,2359,2366,2358,2366,19728,256138,2363,,,,,
2014-1-21,2364,2367,2360,2362,13097,254251,2358,,,,,
2014-1-22,2360,2364,2360,2362,18460,255345,2358,,,,,
2014-1-23,2360,2368,2360,2365,16405,252623,2360,,,,,
2014-1-24,2364,2365,2361,2363,14318,248708,2358,,,,,
2014-1-27,2361,2370,2361,2368,26459,247912,2365,,,,,
2014-1-28,2368,2369,2364,2367,23747,238533,2365,,,,,
2014-1-29,2366,2368,2365,2368,15237,230335,2365,,,,,
2014-1-30,2368,2368,2362,2365,12258,227005,2361,,,,,
2014-2-7,2370,2371,2363,2365,25662,235126,2361,,,,,
2014-2-10,2363,2365,2342,2343,101152,269217,2337,,,,,
2014-2-11,2344,2351,2344,2346,51629,276572,2340,,,,,
2014-2-12,2346,2347,2340,2344,56143,295745,2339,,,,,
2014-2-13,2344,2352,2342,2349,48884,298905,2344,,,,,
2014-2-14,2349,2352,2347,2352,34739,308275,2345,,,,,
2014-2-17,2349,2355,2341,2348,49931,316414,2342,,,,,
2014-2-18,2348,2350,2346,2347,19243,318658,2342,,,,,
2014-2-19,2348,2349,2345,2345,15163,320669,2340,,,,,
2014-2-20,2347,2350,2343,2349,25092,319062,2345,,,,,
2014-2-21,2351,2353,2349,2351,27440,311253,2347,,,,,
2014-2-24,2351,2352,2343,2345,48642,315015,2343,,,,,
2014-2-25,2346,2347,2340,2344,26104,318400,2341,,,,,
2014-2-26,2343,2346,2340,2345,28280,325614,2343,,,,,
2014-2-27,2343,2348,2342,2344,17071,327819,2342,,,,,
2014-2-28,2343,2345,2337,2343,44255,341561,2341,,,,,
2014-3-3,2344,2360,2344,2360,77325,339582,2357,,,,,
2014-3-4,2359,2362,2355,2362,37695,341108,2358,,,,,
2014-3-5,2363,2365,2357,2361,26802,335758,2359,,,,,
2014-3-6,2360,2361,2355,2357,16605,337853,2354,,,,,
2014-3-7,2358,2364,2358,2364,38060,329131,2361,,,,,
2014-3-10,2361,2362,2346,2352,51571,330608,2349,,,,,
2014-3-11,2349,2358,2347,2357,26634,328408,2353,,,,,
2014-3-12,2358,2364,2353,2359,44042,332196,2357,,,,,
2014-3-13,2358,2372,2358,2371,97339,304580,2376,,,,,
2014-3-14,2375,2378,2368,2374,89248,264381,2381,,,,,
2014-3-17,2374,2375,2361,2367,41296,261839,2374,,,,,
2014-3-18,2367,2374,2361,2369,40666,249925,2375,,,,,
2014-3-19,2368,2372,2367,2368,35264,243569,2373,,,,,
2014-3-20,2368,2371,2362,2362,37494,232433,2367,,,,,
2014-3-21,2360,2365,2360,2364,22970,232886,2369,,,,,
